id,question_type,question_th,question_en,answer_th,answer_en,active,order_no,create_date,update_date
11,มาตรฐาน,ผู้ผลิต Pallet หรือวัสดุบรรจุภัณฑ์ไม้เพื่อการส่งออก ให้เป็นไปตามเงื่อนไขใน ISPM No.15 ต้องดำเนินการอย่างไร,,ขณะนี้ต้องขึ้นทะเบียนผู้ผลิตวัสดุบรรจุภัณฑ์ไม้เพื่อการส่งออกที่สำนักควบคุมพืชและวัสดุการเกษตร กรมวิชาการเกษตร โทรศัพท์ 02-940-6466 โทรสาร 02-579-4129,,Y,11,2019-02-21 10:52:28,2019-02-21 10:52:28
12,มาตรฐาน,มาตรฐานสินค้าเกษตรและอาหารแห่งชาติ เรื่อง ข้อกำหนดสำหรับวัสดุบรรจุภัณฑ์ไม้เพื่อการส่งออก มีฉบับภาษาอังกฤษหรือไม่,,"เนื่องจากเอกสารฉบับนี้อ้างอิงมาจาก ISPM No.15 (2002) Guidelines for regulating wood 
packaging material in international trade เนื้อหาส่วนใหญ่มีความใกล้เคียงกัน ",,Y,12,2019-02-21 10:52:28,2019-02-21 10:52:28
13,มาตรฐาน,มีอะไรใน มาตรฐาน “ฮาลาล” แห่งชาติ,,"มาตรฐานฯ ฉบับนี้ ประกอบด้วย 3 ข้อหลักใหญ่ๆ ดังนี้
1.	ขอบข่าย ครอบคลุมถึง การจัดหาวัตถุดิบ การจัดเตรียม กระบวนการผลิต การบรรจุ การเก็บรักษา การนำเสนอและการจัดจำหน่าย การรักษาความปลอดภัยของอาหาร และเครื่องหมายและฉลาก และการที่จะได้การรับรองจะต้องเป็นไปตามข้อกำหนดของศาสนบัญญัติ โดยองค์กรศาสนาให้การรับรองฯ ทั้งนี้ การตีความของศาสนาอาจมีบางส่วนที่แตกต่างกัน ความแตกต่างที่เกิดขึ้นควรมีข้อตกลงระหว่างประเทศผู้ส่งออกและประเทศผู้นำเข้าของทั้งสองประเทศ เป็นต้น
2.	นิยาม โดยจะมีคำอธิบายของความหมายที่ใช้ในมาตรฐานฯ เช่นว่า ฮาลาล หมายถึงอะไร นญิส คืออะไร เป็นต้น เพื่อให้ผู้อ่านเข้าใจในรายละเอียดมากขึ้น 
3.	เกณฑ์กำหนดสำหรับการใช้ฮาลาล ประกอบด้วย รายชื่อของอาหารที่ไม่อนุญาตตามศาสนบัญญัติอิสลาม ข้อปฏิบัติของการเชือดสัตว์ การจัดเตรียมการผลิต การขนส่ง และการเก็บรักษา การชำระล้างนญิส สุขลักษณะอาหารบรรจุภัณฑ์และการบรรจุ เครื่องหมายและฉลาก ซึ่งได้อธิบายไว้อย่างละเอียดแล้วในมาตรฐานฯ ฉบับนี้",,Y,13,2019-02-21 10:52:28,2019-02-21 10:52:28
14,มาตรฐาน,มาตรการสุขอนามัยและสุขอนามัยพืช คืออะไร,,มาตรการสุขอนามัยและสุขอนามัยพืช (SPS) ย่อมาจากคำว่า Sanitary and Phytosanitary Measures เป็นมาตรการที่ใช้ในการจำกัดการนำเข้าสินค้าเกษตรเป็นสำคัญ ด้วยเหตุผลทางสุขอนามัยเพื่อปกป้องชีวิตและสุขภาพของมนุษย์ สัตว์ และพืช ทั้งนี้การกำหนดระดับความปลอดภัยและการตรวจสอบมาตรฐานสินค้านำเข้าจะต้องสอดคล้องกับมาตรฐานระหว่างประเทศและตั้งอยู่บนพื้นฐานทางวิทยาศาสตร์ ,,Y,14,2019-02-21 10:52:28,2019-02-21 10:52:28
15,มาตรฐาน,ICPM ย่อมาจากอะไร และ หมายถึงอะไร,,ICPM ย่อมาจาก Interim Commission on Phytosanitary Measures หมายถึง คณะกรรมการธิการวิสามัญว่าด้วยมาตรการสุขอนามัยและสุขอนามัยพืช ,,Y,15,2019-02-21 10:52:28,2019-02-21 10:52:28
16,มาตรฐาน,ความตกลงว่าด้วยการบังคับใช้มาตรการด้านสุขอนามัยและสุขอนามัยพืช SPS มีบทบัญญัติ กี่มาตรา,,14 มาตรา และ 3 ภาคผนวก ,,Y,16,2019-02-21 10:52:28,2019-02-21 10:52:28
17,มาตรฐาน,องค์การมาตรฐานระหว่างประเทศใดบ้างที่ใช้ความตกลงว่าด้วยการบังคับใช้มาตรการสุขอนามัยและสุขอนามับพืช (SPS) ในการอ้างอิง ปัจจุบันมีกี่แห่ง ที่ใดบ้าง,,"1.)องค์การมาตรฐานอาหารระหว่างประเทศ (Codex) 
2.)องค์การโลกระบาดสัตว์ระหว่างประเทศ (OIE)
3.)องค์การอารักขาพืชระหว่างประเทศ (IPPC) ",,Y,17,2019-02-21 10:52:28,2019-02-21 10:52:28
18,มาตรฐาน,IPPC มีความสัมพันธ์กับ SPS อย่างไร,,ความตกลง SPS กำหนดให้ประเทศสมาชิก WTO ปรับมาตรการด้านสุขอนามัยพืชให้สอดคล้องกับมาตรการที่กำหนดโดย IPPC และใช้มาตรฐานของ IPPC เป็นมาตรฐานอ้างอิงกรณีเกิดข้อพิพาทในการค้าระหว่างประเทศ,,Y,18,2019-02-21 10:52:28,2019-02-21 10:52:28
19,มาตรฐาน,IPPC มีผลบังคับใช้เมื่อใด และ มีประเทศภาคีกี่ประเทศ,,IPPC ฉบับแก้ไขปรับปรุงปี 1997 มีผลบังคับใช้เมื่อวันที่ 2 ตุลาคม 2548 และในปัจจุบันมีประเทศภาคีรวม 138 ประเทศ รวมทั้งประเทศไทย ,,Y,19,2019-02-21 10:52:28,2019-02-21 10:52:28
20,มาตรฐาน,IPPC มีความสำคัญอย่างไร,,สาระสำคัญภายใต้กรอบ IPPC คือ การดำเนินมาตรการเพื่อป้องกันศัตรูพืช (โรค แมลง และวัชพืช) จากประเทศหนึ่งมิให้เข้าแพร่ระบาดก่อความเสียหายต่อพืชปลูก รวมทั้งพืชในสภาพแวดล้อมของอีกประเทศหนึ่ง ทั้งนี้ครอบคลุมถึงการควบคุมวัสดุต่างๆที่มีโอกาสเป็นพาหะขอศัตรูพืชด้วย เช่น ดิน ภาชนะบรรจุ ตู้เก็บ และขนถ่ายสินค้า เป็นต้น ,,Y,20,2019-02-21 10:52:28,2019-02-21 10:52:28
21,มาตรฐาน,จะสืบค้นข้อมูล IPPC ได้จากที่ใด,,http://www.ippc.int,,Y,21,2019-02-21 10:52:28,2019-02-21 10:52:28
22,มาตรฐาน,ISPMs ย่อมาจากอะไร และหมายถึงอะไร,,ISPMs ย่อมาจาก International Standards for Phytosanitary Measures หมายถึง มาตรฐานระหว่างประเทศด้านมาตรการสุขอนามัยพืช ซึ่งกำหนดโดย IPPC เพื่อเป็นแนวทางสำหรับประเทศภาคีนำไปกำหนดมาตรการภายในประเทศ ,,Y,22,2019-02-21 10:52:28,2019-02-21 10:52:28
23,มาตรฐาน,ในปัจจุบัน ISPMs มีจำนวนกี่ฉบับ และมีฉบับใดบ้างที่มีผลกระทบต่อการนำเข้า-ส่งออก สินค้าเกษตรของประเทศไทย,,ในปัจจุบัน IPPC ได้ประกาศใช้ ISPMs จำนวน 29 ฉบับ ทุกฉบับมีความเกี่ยวข้อง กับ การนำเข้า-ส่งออก สินค้าเกษตรของประเทศไทย โดยเฉพาะ ISPM No.15(2002)Guidelines for regulating wood packaging material in international trade ซึ่งมีผลกระทบต่อการขนส่งระหว่างประเทศ มกอช.จึงได้จัดทำมาตรฐานฯเรื่อง ข้อกำหนด สำหรับวัสดุบรรจุภัณฑ์ไม้เพื่อการส่งออก เพื่อเป็นข้อมูลสำหรับการส่งออก นอกจากนั้นได้นำ ISPM No.(1997)Guilines for surveillance มาจัดทำเป็นมาตรฐานฉบับภาษาไทย โดยใช้ชื่อว่า แนวทางการเฝ้าระวัง เพื่อให้ผู้เกี่ยวข้องนำไปปฏิบัติได้ตรงกับความหมายของต้นฉบับ ,,Y,23,2019-02-21 10:52:28,2019-02-21 10:52:28
24,มาตรฐาน,มกอช. ได้ประกาศใช้ มาตรฐานสินค้าเกษตรที่ไม่ใช่อาหารแล้วจำนวน กี่เรื่อง อะไรบ้าง,,"มาตรฐานสินค้าเกษตรที่ไม่ใช่อาหาร ที่ประกาศโดย มกอช. มีจำนวน 4 เรื่อง ได้แก่ 
1. กล้วยไม้ (มกอช.5000-2547) 
2. การปฏิบัติทางการเกษตรที่ดีสำหรับกล้วยไม้ (มกอช.5500-2547) 
3. ปุ๋ยหมัก (มกอช.9503-2548)
4. เส้นไหมไทย (มกอช.8000-2548)",,Y,24,2019-02-21 10:52:28,2019-02-21 10:52:28
25,มาตรฐาน,มาตรฐานเกี่ยวกับการผลิตสัตว์น้ำและผลิตภัณฑ์มีอะไรบ้าง และมีขอบข่ายอย่างไร,,"ปัจจุบันมี 2 เรื่อง คือ 
1.) มาตรฐานสินค้าเกษตรและอาหารแห่งชาติ : การปฏิบัติที่ดีในการผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำ เล่ม 1 : ข้อกำหนดทั่วไป การปฏิบัติที่ดีฉบับนี้มีเนื้อหาครอบคลุมการผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำที่เป็นอาหาร ตั้งแต่การจับ การดูแลรักษา การผลิต การเก็บรักษาผลิตภัณฑ์ การขนส่ง และการนำออกจำหน่าย และให้ใช้ร่วมกับการปฏิบัติที่ดีในการผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำ ในเรื่องที่เกี่ยวข้องกับการผลิตสินค้าแต่ละชนิด
2.) มาตรฐานสินค้าเกษตรและอาหารแห่งชาติ : การปฏิบัติที่ดีในการผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำเล่ม 2 : การผลิตปลาสด ปลาแล่เยือกแข็ง และเนื้อปลาบดการผลิตซูริมิเยือกแข็ง การปฏิบัติที่ดีฉบับนี้มีเนื้อหาครอบคลุมข้อแนะนำทางเทคนิค ในการผลิตปลาสด ปลาแล่เยือกแข็ง และเนื้อปลาบด การผลิตซูริมิเยือกแข็ง และใช้ร่วมกับการปฏิบัติที่ดีในการผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำ เล่ม 1 ข้อกำหนดทั่วไป",,Y,25,2019-02-21 10:52:28,2019-02-21 10:52:28
26,มาตรฐาน,ขณะนี้มีกำหนดมาตรฐานสำหรับสินค้าปลานิล และการเลี้ยงปลานิล หรือไม่ อะไรบ้าง,,"มีการกำหนดมาตรฐานสินค้าเกษตรและอาหารแห่งชาติ : ปลานิล และมาตรฐานสินค้าเกษตรและอาหารแห่งชาติ : การปฏิบัติทางประมงที่ดีสำหรับการเลี้ยงปลานิล
1.) มาตรฐานสินค้าเกษตรและอาหารแห่งชาติ : ปลานิล 
มาตรฐานนี้ใช้กับปลานิลสดทั้งตัว (fresh whole tilapia) อยู่ในสกุล Oreochromis ซึ่งรวมทั้งปลานิลและปลาทับทิม สำหรับการบริโภคโดยตรง (direct consumption) หรือนำไปแปรรูปต่อในอุตสาหกรรม (further processing) 
2.) มาตรฐานสินค้าเกษตรและอาหารแห่งชาติ : การปฏิบัติทางประมงที่ดีสำหรับการเลี้ยงปลานิล
มาตรฐานระบบการผลิตสำหรับปลานิลฉบับนี้ ครอบคลุมระบบกานผลิตปลานิลที่ดำเนินการทุกขั้นตอน กล่าวคือ การเลี้ยงในระดับฟาร์ม การจับ การดูแลหลังการจับ และการขนส่ง เพื่อให้ได้ผลิตผลปลานิลที่ปลอดภัย และเหมาะสมต่อการบริโภค มาตรฐานฉบับนี้ให้ใช้ร่วมกับมาตรฐานสินค้าเกษตรและอาหารแห่งชาติ เรื่องปลานิล",,Y,26,2019-02-21 10:52:28,2019-02-21 10:52:28
27,มาตรฐาน,ขณะนี้มีการกำหนดมาตรฐานสำหรับสินค้าปลาหมึกสด หรือไม่,,มีการกำหนดมาตรฐานสินค้าเกษตรและอาหารแห่งชาติ : ปลาหมึก โดยกำหนดให้ใช้กับปลาหมึกสด (ปลาหมึกกล้วย ปลาหมึกหอม ปลาหมึกกระดอง และปลาหมึกสาย) สำหรับการบริโภคโดยตรง หรือนำไปแปรรูปต่ออุตสาหกรรม,,Y,27,2019-02-21 10:52:28,2019-02-21 10:52:28
